Resultsfromheasarc_fermigbrst:FermiGBMBurstCatalog
Coordinatesystem:Equatorial
|name|t90|t90_error|fluence|fluence_error|pflx_comp_epeak|pflx_comp_epeak_pos_err|pflx_comp_epeak_neg_err|pflx_comp_index|pflx_comp_index_pos_err|pflx_comp_index_neg_err|pflx_comp_pivot|pflx_comp_pivot_pos_err|pflx_comp_pivot_neg_err|pflx_comp_ergflux|pflx_comp_ergflux_error|
|GRB100228544|67.072|4.720|2.7683e-06|5.0460e-08|4.287508e+01|3.110545e+01|3.110545e+01|-1.457402e+00|6.744552e-01|6.744552e-01|1.000000e+02|0.000000e+00|0.000000e+00|8.187770e-08|2.167461e-08|
|GRB141004150|9.472|0.810|4.0962e-06|2.5668e-08|6.536762e+01|2.329609e+00|2.329609e+00|1.388473e-01|1.539202e-01|1.539202e-01|1.000000e+02|0.000000e+00|0.000000e+00|6.207630e-07|2.167700e-08|
|GRB141005535|11.264|3.208|7.1760e-07|4.2393e-08|7.919225e+01|1.024784e+01|1.024784e+01|-6.408542e-02|6.273158e-01|6.273158e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.501861e-07|2.215194e-08|
|GRB101101899|31.232|1.619|2.5972e-06|2.7188e-08|7.540019e+01|1.374244e+01|1.374244e+01|-9.727590e-02|7.981632e-01|7.981632e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.164701e-07|2.221092e-08|
|GRB131127696|15.104|5.049|1.2172e-06|7.5193e-08|8.324493e+01|1.200648e+01|1.200648e+01|-3.928647e-01|4.428553e-01|4.428553e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.795326e-07|2.223543e-08|
|GRB090409288|30.337|2.796|1.1298e-06|5.9385e-08|9.772697e+01|1.446827e+01|1.446827e+01|1.463310e+00|1.658239e+00|1.658239e+00|1.000000e+02|0.000000e+00|0.000000e+00|9.192477e-08|2.241286e-08|
|GRB160323293|25.088|2.064|1.3882e-06|3.9083e-08|7.021671e+01|9.233044e+00|9.233044e+00|4.738602e-01|7.933492e-01|7.933492e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.541999e-07|2.245094e-08|
|GRB120105584|22.528|2.202|1.4675e-06|3.5385e-08|7.183128e+01|9.331940e+00|9.331940e+00|-6.977469e-01|3.750068e-01|3.750068e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.003142e-07|2.248787e-08|
|GRB130612141|7.424|6.192|6.8023e-07|6.2593e-08|6.427762e+01|1.452072e+01|1.452072e+01|-1.195376e+00|3.940248e-01|3.940248e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.542471e-07|2.265820e-08|
|GRB130318456|121.088|1.448|3.1980e-06|4.8684e-08|7.365088e+01|1.343882e+01|1.343882e+01|-9.511661e-01|4.262991e-01|4.262991e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.526126e-07|2.269234e-08|
